Timestamp,velocidad_viento,precipitacion,humedad,temperatura,presion_superficie,radiacion_solar,radiacion_infrarroja
2025-01-19 09:00:00,0.688281,0.0,0.00578217,280.547,99678.8,0.0,321.864
2025-01-19 12:00:00,1.72379,0.0,0.00568051,280.402,99563.2,0.0,287.64
2025-01-19 15:00:00,1.27946,0.0,0.00544163,280.109,99614.3,5.74227,292.332
2025-01-19 18:00:00,1.85415,0.0,0.00640838,285.212,99672.5,273.613,290.086
2025-01-19 21:00:00,3.66005,0.0,0.0066759,285.737,99394.3,532.925,302.909
2025-01-20 00:00:00,3.35978,7.7486e-07,0.00642623,284.919,99257.8,319.991,304.987
2025-01-20 03:00:00,0.862574,7.7486e-07,0.00573368,281.099,99275.3,14.4418,297.881
2025-01-20 06:00:00,1.14398,8.34465e-07,0.00564506,280.692,99327.0,0.0,307.493
2025-01-20 09:00:00,1.8592,8.34465e-07,0.0053992,279.912,99297.7,0.0,342.609
2025-01-20 12:00:00,2.19853,8.34465e-07,0.00552733,280.119,99190.8,0.0,319.3
2025-01-20 15:00:00,1.67819,8.34465e-07,0.0052277,279.922,99193.4,5.41375,331.574
2025-01-20 18:00:00,1.5018,8.34465e-07,0.00466713,287.414,99288.4,275.64,290.198
2025-01-20 21:00:00,0.318951,8.34465e-07,0.00400539,289.402,99249.9,535.856,302.897
2025-01-21 00:00:00,8.38412,0.0,0.00251875,290.579,99375.0,316.414,316.802
2025-01-21 03:00:00,6.60967,0.0,0.00221713,284.834,99678.4,14.1302,298.652
2025-01-21 06:00:00,5.72488,0.0,0.00170243,282.057,99967.9,0.0,277.114
2025-01-21 09:00:00,4.26628,0.0,0.00140737,280.684,100139.0,0.0,265.048
2025-01-21 12:00:00,5.15123,0.0,0.00135107,280.249,100228.0,0.0,259.213
2025-01-21 15:00:00,6.65243,0.0,0.00130425,278.884,100075.0,7.5054,256.314
2025-01-21 18:00:00,2.86381,0.0,0.00204553,290.082,100079.0,279.18,263.835
2025-01-21 21:00:00,2.15224,0.0,0.00242426,290.524,99813.7,530.825,304.172
2025-01-22 00:00:00,0.785211,3.66569e-06,0.00295185,289.494,99727.3,314.099,313.598
2025-01-22 03:00:00,3.04231,1.0401e-05,0.00212998,286.062,99795.4,14.9223,315.653
